Sample ID,electronegativity_electrode,ionization_energy_electrode,band_gap_electrode,conductivity_electrode,stability_window_electrolyte,dielectric_constant_electrolyte,viscosity_electrolyte,solubility_electrolyte,redox_potential_mediator,molecular_weight_mediator,solubility_mediator,compatibility_label
M17,1.912726729,10.69606341,2.261617388,1.867475755,5.157292041,46.15426163,1.392998776,0.653774886,-0.15054649,426.040672,0.243620666,0
M18,2.574269295,11.58352767,2.12194509,3.823858369,3.268355149,49.62011326,6.370332039,0.97045856,-0.970956744,338.569589,0.93793302,0
M19,2.295835056,9.541357703,0.783814738,4.73159633,5.415052408,20.56476016,2.292411408,0.211877469,-0.146431119,208.2452251,0.550405578,0
M20,1.873687421,11.6819615,2.132030282,4.251959396,5.210521686,20.62496431,6.137495106,0.556551788,0.138749756,124.5697192,0.137828961,0
M21,2.835558684,6.060026201,2.687084693,1.864920602,4.645608132,25.71636264,3.954420835,0.146447519,-0.723341088,447.876689,0.427228477,0
M22,1.418481582,8.341913326,0.112521637,9.251857909,3.299499468,58.37911938,1.196433585,0.389094669,0.699462673,494.8419909,0.621564228,0
M23,1.876433946,9.212647138,2.220565026,7.646955741,4.065266247,50.46995476,5.908255662,0.65854241,0.149517987,72.4872778,0.385182032,0
M24,2.09908553,9.072156532,3.906781092,4.865422738,3.77931703,68.43219846,6.893818921,0.856951242,-0.860615013,299.3510219,0.714244206,0
M25,2.368209953,7.810232454,3.400230282,6.83260418,3.355527545,27.17439289,6.866671666,0.75729558,1.111936595,167.5866132,0.887947481,0
M26,3.355527884,7.366590866,3.175784944,8.983098454,5.392545157,73.40510449,6.442937209,0.5165711,1.187839502,424.5740751,0.783297518,1
M27,1.599021346,5.887768158,4.547777142,1.448124009,3.934028298,60.77796215,5.102202853,0.918300481,1.503414329,205.7328913,0.660525119,1
M28,2.542703315,7.742197154,0.090160049,2.578693202,5.330892391,34.62587525,5.290831645,0.372443199,0.4566218,371.5831801,0.536549607,0
M29,2.777243707,6.138625706,2.785237931,5.472742348,2.420873897,12.14465492,6.429273076,0.778585069,1.905976392,292.7855397,0.291740311,0
M30,1.139351238,10.14055974,3.936744242,8.010202676,2.564099154,24.27377469,6.964541745,0.52660812,1.742192434,293.6855217,0.482198857,0
M31,2.822634556,6.461816548,2.706676914,0.458923465,5.90928122,76.75761629,6.617792041,0.908772179,0.654054875,436.099744,0.328305262,1
M32,1.511572371,5.409957137,1.619477763,9.841779687,4.35107385,28.27725319,5.952066536,0.817689539,0.334855793,261.6819917,0.937322212,0
M33,1.195154779,8.866562965,0.681252825,4.603575369,4.039078694,29.74257201,1.727222051,0.911322695,-0.990896716,430.5197904,0.911945599,0
M34,3.846656612,9.166608129,4.437815359,3.656388292,4.092624253,19.21916983,2.264042077,0.292823064,1.132983595,213.5420726,0.198035064,0
M35,3.896896099,11.10339143,2.353811962,2.997971935,2.861075096,65.51379509,2.750195406,0.701335389,0.694863512,128.6523241,0.83148921,1
M36,3.425192044,9.038871287,4.390575985,1.826131406,4.874815798,25.67331727,9.212684239,0.764617067,1.812632436,254.9648199,0.717768962,0
M37,1.913841308,7.418365976,2.929260612,7.936581698,2.339122495,29.76936863,7.6420719,0.768172839,0.782696376,274.2601016,0.976451135,0
M38,1.293016342,10.62108317,3.370960583,9.558600231,4.293294852,36.07610813,5.618094831,0.553600405,1.978568282,265.2724389,0.49014124,0
M39,3.05269908,8.781952252,4.021305772,4.195083073,4.283075186,37.52962098,2.6701579,0.11012547,1.561457816,413.7486853,0.736065653,0
M40,2.320457481,5.554961992,3.295777723,9.528964878,5.656753697,35.85055928,1.286736928,0.335287705,1.860793807,304.1055237,0.541989724,0
M41,1.366114705,8.960953922,1.990274203,8.255596393,4.10473124,42.78077715,9.007840415,0.390970788,-0.017011686,449.7998323,0.115930472,0
M42,2.48553073,11.35612982,2.56816692,4.862406162,2.548250784,66.08846597,8.948126955,0.866832956,-0.551992016,281.3834727,0.094426512,0
M43,1.103165563,7.774188378,4.015227623,6.772859173,4.291013037,66.44637806,1.284816838,0.856797235,1.390616341,151.1217873,0.166005871,1
M44,3.727961206,7.074280613,1.868251482,4.406343374,2.365310577,64.87348503,8.012723328,0.194212094,1.358591309,108.2731281,0.331381511,0
M45,1.776339945,6.004286199,1.940607284,5.631361741,2.815175341,12.58436293,4.577121679,0.954852294,-0.365653182,440.7632694,0.296157451,0
M46,2.987566853,6.060118654,0.47845058,0.674658736,2.124434337,64.97591025,3.374875942,0.264211738,1.294233962,75.27775951,0.741910335,0
M47,1.935133228,8.02940039,4.572922176,6.993008405,4.05317433,14.01888301,7.443224455,0.472923506,0.745920074,102.9243254,0.730126598,0
M48,2.560204064,9.169758769,0.455181575,0.62296398,2.338130461,14.35428275,6.220429502,0.293641269,-0.671424565,78.64633351,0.972824851,0
M49,2.640130838,5.564307836,3.241045887,8.189140975,3.877577514,76.08970787,7.844295054,0.874299222,0.505350793,240.6803887,0.344871284,1
M50,1.554563367,11.57698012,2.065972394,8.266974602,5.731780141,66.45483835,0.928422834,0.774461829,1.793414003,289.6770274,0.94152948,0
M51,3.908753883,10.28593532,2.028096951,2.447065147,4.879045652,46.43078502,3.322152796,0.418175926,0.519372636,58.94362896,0.632208073,0
M52,3.32539847,9.106367428,3.397759183,3.304261532,2.309646697,70.62276534,3.329305134,0.713690763,1.366096969,282.0137751,0.520543275,1
M53,3.818496825,10.7990707,0.335468663,4.864972748,2.896839249,79.20234819,3.431580304,0.265930196,-0.91327004,227.1917621,0.684449309,1
M54,3.684482051,5.561307298,2.968528915,6.006962779,4.69464968,50.798155,5.124302752,0.444067383,1.184244239,398.1403321,0.717617679,0
M55,2.793699936,8.337872144,3.86015893,2.944801251,5.578807444,50.96738277,2.97353527,0.43939683,1.840512158,423.4804798,0.213332577,0
M56,3.765622705,9.410651888,4.141063789,5.965615406,2.131674347,61.58202719,4.554959379,0.314143014,0.498583355,358.2353464,0.764129728,0
M57,1.265477506,10.80057034,0.852651947,3.048092025,5.249804527,22.41042143,3.804220413,0.888680845,0.013129739,263.0729909,0.738914126,0
M58,1.587948587,10.48428692,4.48709525,0.649358139,4.247255521,17.53436461,7.405901271,0.710961162,0.939951515,147.2668678,0.99765567,0
M59,1.135681867,6.939484748,3.280730459,0.125022743,4.184365301,61.96855625,6.114307798,0.35194538,1.748783645,431.2016903,0.916350392,0
M60,1.975990992,11.58616119,4.409274004,1.101395473,5.831252731,30.86785962,6.605568437,0.317908685,-0.469691048,203.751113,0.70042722,0
M61,2.166031869,5.87042089,2.426403586,7.943281932,4.99057845,15.13027672,2.263722162,0.116158124,0.21108263,210.3313492,0.726745527,0
M62,1.814047095,11.12593533,2.710166725,9.618169993,5.400475472,28.61582944,3.38992122,0.411924028,-0.531129157,462.2051962,0.948686352,0
M63,3.486212527,11.79658175,4.595191385,4.326965373,3.415982278,31.89776509,0.407421387,0.574094155,0.489962697,489.018765,0.968819359,0
M64,2.07025998,6.240074663,4.499547717,5.175571139,4.217456163,77.39207446,1.262072131,0.349939848,0.621266039,454.1589304,0.835616937,1
M65,1.842803529,10.05446245,2.240804367,1.553796874,4.46162271,57.34697833,2.797531473,0.730412449,1.832610844,499.2056256,0.779023868,0
M66,2.628088249,5.281998631,1.372063158,5.555210392,3.286335761,44.8142238,0.841544469,0.470574576,0.237545461,441.0089798,0.155797532,0
M67,1.422772675,7.837959776,1.965852173,1.53208353,4.2809925,77.6654854,6.105797523,0.384686053,0.700869841,366.9608829,0.838806082,1
M68,3.406590942,8.613983094,1.938821643,6.151021879,2.946621518,72.73548054,9.981675136,0.945151893,1.655787722,182.2187298,0.290535895,1
M69,1.223651931,9.064516581,1.434334375,9.339260809,2.573502684,43.40006425,1.187989098,0.33652079,-0.035784999,478.830672,0.585595081,0
M70,3.96066081,11.55156074,1.342898022,2.037415539,3.495881037,72.92597265,8.248056084,0.458431858,1.022491607,444.4820742,0.435103847,1
M71,3.316734308,9.705754811,4.305314682,7.669180809,4.957158515,35.32284935,1.364399223,0.44406171,1.271485546,158.3360566,0.378326936,0
M72,1.596147045,8.368945659,0.349309603,0.332673986,5.664748592,22.2815499,6.765157384,0.317078511,-0.008415296,270.123113,0.344737501,0
M73,1.016566351,10.66772525,3.38805591,3.817422689,3.830856206,22.45086326,6.50294451,0.295729066,-0.506976443,81.52504728,0.862655727,0
M74,3.446384285,11.65372975,0.864100257,1.196410228,4.571294753,54.67366433,9.046625961,0.372142017,0.508728626,478.9889885,0.780679315,0
M75,3.120572032,5.154463041,1.722529467,3.589506872,2.412148524,42.58027405,1.316667014,0.877812553,0.07040519,307.7457475,0.547276315,0
M76,3.187021504,11.87764891,0.307715171,1.818015504,5.617855034,54.42131353,3.291355768,0.790374599,-0.200612705,160.3402457,0.681256469,0
M77,3.31381104,5.602924973,1.349868184,3.795719402,4.274416854,56.45569732,1.089641651,0.712899563,1.920263932,181.5796911,0.985301553,0
M78,1.222133955,10.70070745,3.842105356,4.23347578,5.121352991,6.674215467,4.192356593,0.511392693,0.506459056,491.2953677,0.427658379,0
M79,2.075397186,6.962343268,4.425076623,3.075852116,5.177764804,9.052969426,9.133613101,0.556978586,1.569433082,327.0264313,0.573545576,0
M80,1.347607179,5.925257604,1.10763576,6.6005573,3.025922105,44.95082949,7.85892688,0.340424961,-0.414047768,239.3074058,0.556847527,0
M81,3.589310278,8.078989478,2.317739196,9.196635307,4.116697813,19.32766083,7.284420984,0.166884322,1.818328295,274.9304578,0.939173756,0
M82,2.86989438,9.507696056,2.35162024,4.065894204,5.841919006,52.44003266,5.423669548,0.397936501,1.383294304,94.34753257,0.383984297,0
M83,1.992694075,7.666662915,4.367876529,2.004197249,2.358538179,46.41393044,8.858160275,0.54602538,1.426076469,83.76024203,0.986942013,0
M84,1.190675051,5.381957858,3.813995264,2.780155306,4.732199592,48.93202688,4.604529623,0.151581742,0.169294626,316.7184845,0.339462733,0
M85,1.932946965,9.196227978,2.565386092,8.554608153,5.849056312,27.68415349,1.666919538,0.179409972,0.456910979,280.4018164,0.153461684,0
M86,1.975549966,11.31682293,3.353736002,5.75923326,3.202308432,52.98826297,8.408335187,0.33672271,0.780062978,211.6189361,0.231804868,0
M87,3.188818535,7.682507562,4.23677527,4.60460922,5.445791686,67.21194774,2.940455615,0.430372336,1.369296609,304.7512786,0.454910275,1
M88,2.912672414,6.514329443,0.04769477,1.581403543,5.734630182,79.85534402,0.725608702,0.45398513,1.547170256,82.70417725,0.667268152,1
M89,3.661638228,8.098041422,2.014450155,4.552300352,4.988344838,67.88332896,1.435172701,0.20609746,-0.765864072,474.7960271,0.540983959,1
M90,2.416644775,5.338538977,4.536215836,2.857070833,2.925313249,46.81240698,6.168777379,0.303239219,1.712187163,182.1702595,0.407464268,0
M91,1.358782738,10.74341309,3.701565154,9.437314966,3.336002875,19.50721938,6.149403246,0.335482527,1.812489958,82.3004558,0.583931602,0
M92,3.139734362,10.78438568,2.714206872,8.852294083,2.143237178,56.10844071,2.749795077,0.160871389,0.778662213,126.2769227,0.846865962,0
M93,3.282355146,9.116003244,2.648222635,0.930635164,5.325812937,75.32403392,7.32636545,0.393489731,-0.43974816,92.96326152,0.846984476,1
M94,2.683831593,7.471720223,1.738850488,5.214869544,5.398444746,20.88999048,7.781673523,0.164999415,1.455244498,130.372027,0.739916494,0
M95,3.31290154,10.59848355,2.602602668,2.328077621,4.53084124,24.19967154,9.220925736,0.733112059,0.645762844,237.5393247,0.954826035,0
M96,2.481386789,8.882809174,3.276915997,4.166693186,3.410111405,16.17564076,5.932387487,0.44744299,1.451589361,382.1229023,0.610694434,0
M97,2.568198488,10.78152616,2.091815192,8.780795183,2.307244111,60.25412327,7.838348969,0.39407715,1.44442438,172.5567564,0.057274756,0
M98,2.282623055,9.420211548,3.570765732,5.322393747,5.01223044,35.49211276,7.580376862,0.213869954,-0.739812053,246.1669799,0.326383151,0
M99,1.07625738,10.49083831,4.306161136,3.408731404,4.906104774,9.702172916,2.726528675,0.30385329,0.821064285,467.9407795,0.361811569,0
M100,1.323674281,9.189940953,0.773424241,2.158094706,5.650410087,70.62124936,3.240214094,0.309434688,0.449432898,183.1197827,0.569959773,1
M101,1.094287557,7.898987478,2.257735114,8.023216108,4.922128084,46.82539285,4.889127478,0.986683793,1.83835841,407.623889,0.909644998,0
M102,2.909231234,11.70562102,2.040100456,6.282728352,5.314779769,29.8320719,0.386581882,0.851814442,-0.110076124,121.0175926,0.846209215,0
M103,1.943067943,8.787796774,3.43732402,4.733848058,4.983818472,30.7987232,3.114498177,0.113736062,-0.381999681,130.2447858,0.270564336,0
M104,2.525712073,9.23562663,1.249337326,2.253095103,4.522748753,26.76884151,4.844052159,0.655152932,1.691260568,255.2687931,0.543420724,0
M105,3.722699422,6.543413476,3.201254575,3.409039104,3.707865577,39.16101293,1.259079094,0.330319087,-0.553853293,155.3460127,0.676191204,0
M106,1.747876687,9.379555526,4.387446209,9.602449925,5.608469235,30.27812664,1.4375037,0.193939236,1.059558376,456.3626332,0.988135964,0
M107,2.231148769,9.001253546,2.090657999,5.248890382,4.603874288,46.09597281,4.73972001,0.735039787,-0.099940558,72.83853101,0.079737678,0
M108,3.266653416,6.293868786,4.5550785,4.066922884,3.593421288,63.01379392,7.36345731,0.218444995,0.703537266,318.7726548,0.490683451,0
M109,1.686394496,5.417109681,4.965818695,5.262078219,2.333877181,55.58459626,8.370739523,0.499366702,0.848658299,321.9032283,0.988703221,0
M110,1.230939729,9.230515238,0.53046025,7.811986208,3.162819424,27.08426696,5.553876196,0.668948648,0.252107846,79.71166738,0.978345507,0
M111,1.869254359,10.34584589,1.16526594,3.467078471,4.174906939,44.65557587,4.852540078,0.599045281,1.924894941,379.6538967,0.364190192,0
M112,1.483663862,8.663809596,4.751898757,1.869190597,3.10254148,68.00946199,3.965949571,0.979866188,-0.604500496,261.003895,0.050015899,0
M113,3.789092957,6.587408377,4.791638432,5.890867572,2.884941392,10.11546761,2.090900126,0.807168352,0.174197267,375.3830181,0.607397856,0
M114,3.424361139,9.665653837,0.488536377,6.685520624,4.109574056,10.87229502,1.636307628,0.796774039,0.291185981,422.1162437,0.873591908,0
M115,2.90021127,5.560740086,0.074992502,7.155908229,2.679281384,46.7127551,7.960585226,0.420035855,0.893140847,195.3047084,0.358082363,0
M116,3.614381771,8.092835934,0.805500116,8.831677149,5.201640253,52.93363463,4.757064996,0.107555943,0.221779275,268.0186473,0.937556467,0
M117,3.411016231,6.143567309,4.980063917,3.774623795,3.937472605,20.85597618,7.945138406,0.760969837,-0.708891966,167.3423509,0.366067315,0
M118,1.559710177,6.291213357,0.899998083,0.846013473,4.295451096,60.8915095,7.100013752,0.999758876,1.842289995,140.6810586,0.629691254,0
M119,3.677676995,6.416057644,2.512738034,9.587650978,2.58953307,53.46975328,2.100179961,0.465291197,0.248237245,50.26764112,0.73594377,0
M120,2.618026726,7.706949399,4.242088632,4.406618082,3.298305343,74.24669512,5.201011189,0.986966649,0.028021182,483.6341804,0.378144976,1
M121,3.422320465,5.358051439,0.102008053,6.270249346,3.640358733,17.67156514,4.551362978,0.227537299,0.340166373,248.4178112,0.384596091,0
M122,3.6882739,7.784554087,3.022444911,6.696422699,5.232851322,61.3530699,4.35396036,0.366861116,-0.350212954,55.88139788,0.496495088,0
M123,1.954010425,8.58195213,1.385127244,5.510485716,5.080638092,11.27323179,5.517196282,0.253654239,-0.699334946,54.02235991,0.843462257,0
M124,1.330155774,8.383059995,4.311674582,2.132049544,2.891909899,47.39693071,9.824402631,0.527658376,-0.554264563,179.7586558,0.145808229,0
M125,1.683805488,7.679488703,1.417305746,7.575916196,4.464716326,46.39213546,8.166425857,0.817283261,-0.500035519,56.27195542,0.649905416,0
M126,2.281323366,10.87402626,3.433778601,8.057144546,2.973825431,34.12887835,9.05638183,0.406595522,-0.406979685,218.5315779,0.693480533,0
M127,3.454044298,6.017286847,3.371098162,5.574458302,5.952988623,68.34283608,0.490467915,0.915606043,0.259880637,78.32232565,0.579979122,1
M128,3.58219175,8.539877206,1.107467744,4.93675549,5.808495513,5.327798359,1.575296395,0.590347372,0.871697807,67.66321602,0.939046468,0
M129,1.020856392,5.434289919,0.173995999,1.227988013,4.253058882,44.01345514,1.03068387,0.518881972,0.886663514,351.2216273,0.621891181,0
M130,2.532241908,5.498089752,2.046247869,0.931121449,4.795610288,21.28651624,2.77966385,0.808332258,-0.999707291,458.0785802,0.652847914,0
M131,2.252233009,9.017060948,1.44596576,3.461691971,5.205721529,60.76239643,4.530546421,0.191299147,1.762873001,234.2239625,0.619772027,0
M132,1.666323431,8.962128974,4.044888748,3.17737694,4.88399368,8.230056973,6.492121827,0.796377224,1.468541542,426.5466936,0.735917836,0
M133,1.359596102,11.14623459,4.001820942,9.541198865,4.799314764,67.36660161,5.10814641,0.3186568,1.891814118,63.16945751,0.178638945,0
M134,2.012845514,8.90511573,2.285119761,7.85786515,5.834216032,67.856917,9.051202366,0.352731292,0.079959034,399.9605252,0.899562507,0
M135,3.828729112,11.71853714,3.032561127,6.633250523,4.385824425,67.46495093,9.410588397,0.639508396,0.99439783,78.25999655,0.090367707,1
M136,1.969608796,5.340863939,3.02129758,5.224716081,4.545210687,16.4426395,1.802505322,0.911740983,-0.495937752,427.2977404,0.658706762,0
M137,2.556371865,5.686053793,4.135790742,1.756938554,5.397075002,52.28048889,8.558546619,0.620566255,1.451099082,447.0648552,0.634706886,0
M138,3.109056877,5.308461031,2.125012071,9.786721055,4.679563471,6.077551939,4.920877599,0.684054414,-0.515896831,403.6882291,0.247715071,0
M139,2.090888807,6.296937952,1.377233399,3.812902913,4.931730488,68.59719435,4.642628819,0.798935131,-0.022042898,419.337061,0.088675425,0
M140,3.915346248,8.788890777,1.325174591,1.158563464,2.936674745,59.22313951,7.892405615,0.333392283,0.472504568,302.6680548,0.181893627,0
M141,3.887341885,9.51900527,2.680961396,4.988609068,3.485067696,44.83652982,1.112776989,0.844510306,0.783595007,169.1982242,0.308088452,0
M142,1.755346887,5.319096106,2.245741014,8.752580315,2.589205383,59.79435748,8.848432649,0.476164134,0.678899073,339.4539512,0.888000406,0
M143,2.491745518,11.62179623,2.200603855,8.884180918,4.023061769,12.07430725,6.774460875,0.258090124,-0.693711965,247.7937421,0.862947684,0
M144,1.902634929,10.89515764,0.455686695,0.208562569,3.822909603,44.64918741,8.777563755,0.415106272,0.265028009,52.40145241,0.110662796,0
M145,1.854521483,7.076287375,3.593018703,8.874327873,5.988651257,26.84573689,9.945880262,0.321518001,1.768727793,264.5715679,0.324804608,0
M146,1.110660842,5.540312712,1.06868344,2.787693753,4.444834611,77.94645974,5.276443633,0.305842245,1.617105583,343.034566,0.894850431,1
M147,2.828693002,6.189209513,0.984768151,0.485826403,5.145779293,69.2838463,1.11396954,0.354306879,0.77235057,56.24764686,0.274826077,1
M148,2.50803707,5.888610896,2.063791601,8.493123677,3.336058683,59.99567719,1.831933857,0.262837733,0.716973726,329.6121512,0.996167039,0
M149,1.154436254,5.862986455,1.138891708,8.652280884,5.326181325,75.03107264,3.371458777,0.700931581,-0.664974452,343.6393578,0.293998186,1
M150,1.835939393,8.629931821,2.919291337,6.00268769,4.460339866,31.01324784,1.214818833,0.621992581,-0.399221643,121.1484102,0.752157594,0
M151,3.724797658,6.720932097,1.857316697,5.786894197,4.787969326,72.56599242,8.190349896,0.683597704,-0.242080772,243.9833833,0.446206215,1
M152,1.718685672,7.506978016,2.244558613,8.149890699,3.177723112,29.39286741,3.10930494,0.409352251,0.464587186,483.9496704,0.179432324,0
M153,1.434684616,11.92653733,2.685846608,7.884464572,4.194553567,59.95975398,9.763684643,0.792760062,1.194068144,447.8851525,0.292396883,0
M154,2.468358281,9.790199742,1.017677612,8.912044187,4.536147894,60.23126838,7.085396033,0.216647867,0.382176067,234.8696403,0.691362172,0
M155,3.956951362,11.64286467,0.778758114,5.572199731,4.356378703,6.376240734,1.899617629,0.614023039,-0.621816874,207.4308206,0.370203582,0
M156,1.726165815,5.997895885,4.402109514,9.679706218,5.660774846,32.07947737,4.86521794,0.347907675,0.318046631,105.8363064,0.62392181,0
M157,3.016406642,7.674976324,2.168618514,9.961853626,5.593090658,6.457450431,4.775465372,0.574848911,-0.512100239,65.83508804,0.245254491,0
M158,3.284858846,8.883122623,2.060468048,1.253791639,5.883936232,79.78190132,5.026614252,0.391273458,1.253442055,183.8582498,0.476151924,1
M159,1.712912632,5.537306433,0.178060751,8.51048322,4.669712024,14.16475714,5.449773472,0.811460589,-0.500497419,473.1275062,0.536633491,0
M160,3.184649046,5.029312105,2.489881513,5.048240352,5.887656521,45.71081717,0.505496207,0.902144655,0.447601969,481.3760531,0.442145335,0
M161,2.103349398,9.693040337,2.770848608,3.936906749,5.329912,64.29171791,6.925751032,0.768323101,1.080240808,415.6337033,0.23802213,0
M162,2.896917492,9.492736618,2.794204355,6.169415868,3.083328561,20.09477017,4.974479398,0.258025342,-0.315405808,207.8711661,0.488475848,0
M163,2.900589132,7.87552167,3.535155847,0.654059017,3.709742678,41.37895011,7.951460909,0.347380209,-0.771909677,114.6318948,0.708255533,0
M164,2.607324052,8.427508532,0.887409175,5.113965076,2.953569769,50.55715707,8.190425818,0.927422259,0.689898428,317.990064,0.96666038,0
M165,1.27086931,7.908101004,1.261115671,8.721816643,2.016788643,17.01535658,2.459244196,0.493498115,-0.837392009,340.9272532,0.800045539,0
M166,3.505907487,5.168035314,4.053652326,2.21326901,2.752195013,63.39165949,0.674544875,0.947062368,0.763305929,241.0581062,0.203396957,0
M167,1.962340195,7.347601244,4.735853084,4.321259958,2.016242345,27.45023429,7.09169179,0.45320652,1.260495613,361.241058,0.309066757,0
M168,1.559555531,6.239575788,0.679663737,9.400860788,4.879353845,20.82673073,9.782075327,0.956597195,-0.012052025,386.0068485,0.124882701,0
M169,1.122325425,5.688969324,2.488247773,4.342781994,3.702137191,46.87165598,4.577248268,0.933165089,0.465048227,402.3777486,0.178867048,0
M170,2.77267883,11.69704304,1.070881264,3.64783956,3.250298908,35.77352207,2.744205534,0.694474201,1.786285515,276.0341501,0.288148817,0
M171,3.032693086,9.195518075,0.300365842,4.461312816,5.046883564,74.02144585,1.735384567,0.107944344,0.413326593,406.2383499,0.239550998,1
M172,1.049763487,10.10059399,1.627516691,5.242582389,5.329947098,71.00470236,3.016966854,0.460301214,1.989662184,61.46439182,0.252966788,1
M173,2.536279175,7.207546203,0.718438126,6.356714307,5.901198155,41.25129975,3.413611603,0.920111617,-0.528992766,356.181965,0.269231715,0
M174,1.679487326,7.752029906,3.549665367,8.026858729,4.568054339,31.9447831,4.353972486,0.89659926,1.126801707,156.0352807,0.335644761,0
M175,2.935518371,6.658467957,2.668627068,4.575811837,3.846115834,29.41384862,6.622989808,0.26864902,0.957855795,171.7341313,0.169306765,0
M176,1.523099287,5.678759697,0.719172355,8.193061257,3.221057206,25.06727173,2.87699795,0.459264246,1.616914441,91.08576797,0.313943235,0
M177,3.072813214,6.253221462,0.046207942,5.383834547,2.889272837,45.84108903,0.699572282,0.851958935,-0.722670364,136.5765186,0.703991236,0
M178,2.160206039,10.58259832,4.040785245,3.450957053,2.851703802,65.37339536,3.858130393,0.620090068,-0.159380225,496.4037049,0.27458095,0
M179,3.810189966,9.742820636,0.880972031,6.613713198,3.636757499,28.30674562,8.585170238,0.86256931,-0.603462323,236.9255588,0.213246506,0
M180,1.412562832,8.828502132,3.031083211,7.205450322,5.967145421,19.25705673,5.083844806,0.843910646,1.799285367,467.4944294,0.114310879,0
M181,2.023199053,8.32562911,1.684609565,5.624684859,2.00341479,40.66128546,9.654880826,0.916733806,0.279905974,123.3047877,0.524972912,0
M182,1.340420564,11.45703999,2.927429692,0.660488234,2.788823589,10.17758126,5.135491005,0.205498529,1.730197537,141.8264789,0.849883591,0
M183,3.774080855,5.509144634,1.578268135,1.781840464,2.75357193,57.59592546,2.903808406,0.230693627,-0.116779017,301.0160092,0.106065812,0
M184,3.63201806,6.964205693,0.434697803,2.924447437,4.868477942,43.87686997,2.094477173,0.174528126,-0.620895696,207.2896434,0.565209726,0
M185,1.773824883,7.449564975,1.114750043,2.897993499,3.40993891,42.2281106,7.006340068,0.941741957,-0.110388181,339.7618439,0.66808797,0
M186,2.979952138,10.47698069,0.940292832,6.766865922,3.829043218,27.53340347,5.456536601,0.527646146,0.791523078,239.9209591,0.612838574,0
M187,3.451666601,11.94760234,2.140096762,0.281651751,2.594496522,72.85050781,6.119189504,0.157892755,1.535697775,415.2187569,0.883742043,1
M188,2.665602435,6.684693603,3.291418917,7.581249593,3.619988156,11.78647189,7.600242535,0.389376912,0.15617208,244.201582,0.873075801,0
M189,2.588951735,11.12015134,1.319030375,2.726890501,2.412799248,70.23680067,7.31385395,0.416271377,1.744425978,307.5571321,0.104442213,0
M190,1.725556873,10.81435932,0.060349677,3.169216278,4.132173152,33.25289018,0.624960342,0.828603841,-0.267303821,194.48294,0.392896771,0
M191,1.279308303,6.572601783,2.594686821,5.326307297,2.391753462,71.0467637,8.065204672,0.761929203,1.080622062,366.8184443,0.687288339,1
M192,3.691647274,7.795328061,3.028797447,2.237663449,5.162033525,59.65710937,5.420492409,0.720448345,1.207140051,344.630394,0.954822423,0
M193,3.701254171,7.867710085,4.81435247,8.856266004,4.26640687,12.8128045,4.038743602,0.119677197,-0.178111242,228.6504647,0.814450557,0
